# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			9315468	9315468	9315468			
N_multimapping			5118552	5118552	5118552			
N_noFeature			19690683	36246397	35933868			
N_ambiguous			3102805	751040	761731			
ENSG00000000003.15	TSPAN6	protein_coding	3	2	1	0.0773	0.0222	0.0196
ENSG00000000005.6	TNMD	protein_coding	1	1	0	0.0792	0.0228	0.0201
ENSG00000000419.13	DPM1	protein_coding	549	300	250	53.1744	15.2895	13.4892
ENSG00000000457.14	SCYL3	protein_coding	890	654	664	15.1165	4.3465	3.8347
ENSG00000000460.17	C1orf112	protein_coding	1062	742	772	20.7964	5.9797	5.2756
ENSG00000000938.13	FGR	protein_coding	8239	4126	4113	284.7991	81.8896	72.2472
ENSG00000000971.16	CFH	protein_coding	32	17	15	0.4688	0.1348	0.1189
ENSG00000001036.14	FUCA2	protein_coding	971	783	773	40.2254	11.5662	10.2043
ENSG00000001084.13	GCLC	protein_coding	1250	773	777	16.9567	4.8756	4.3015
ENSG00000001167.14	NFYA	protein_coding	2095	1202	1173	64.2662	18.4788	16.3029
ENSG00000001460.18	STPG1	protein_coding	218	129	163	2.9944	0.8610	0.7596
ENSG00000001461.17	NIPAL3	protein_coding	2126	1160	1040	26.4520	7.6059	6.7103
ENSG00000001497.18	LAS1L	protein_coding	2723	1347	1388	25.3553	7.2905	6.4321
ENSG00000001561.7	ENPP4	protein_coding	240	130	110	6.0417	1.7372	1.5326
ENSG00000001617.12	SEMA3F	protein_coding	9	5	5	0.2180	0.0627	0.0553
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0118	0.0034	0.0030
ENSG00000001629.10	ANKIB1	protein_coding	2556	1301	1270	40.4402	11.6280	10.2588
ENSG00000001630.17	CYP51A1	protein_coding	73	46	29	2.4183	0.6953	0.6135
ENSG00000001631.16	KRIT1	protein_coding	332	179	167	6.2561	1.7988	1.5870
ENSG00000002016.18	RAD52	protein_coding	1580	799	781	41.0197	11.7946	10.4058
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	24	13	17	0.4449	0.1279	0.1129
ENSG00000002330.14	BAD	protein_coding	146	180	212	9.9932	2.8734	2.5350
ENSG00000002549.12	LAP3	protein_coding	2649	1345	1304	81.8189	23.5258	20.7557
ENSG00000002586.20	CD99	protein_coding	13170	6455	6717	316.9319	91.1289	80.3986
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	218	110	108	3.4278	0.9856	0.8696
ENSG00000002726.21	AOC1	protein_coding	100	48	52	3.0879	0.8879	0.7833
ENSG00000002745.13	WNT16	protein_coding	13	4	9	0.4656	0.1339	0.1181
ENSG00000002746.15	HECW1	protein_coding	4	3	1	0.0336	0.0096	0.0085
ENSG00000002822.15	MAD1L1	protein_coding	120	61	59	1.9404	0.5579	0.4922
ENSG00000002834.18	LASP1	protein_coding	7922	4741	4710	131.1615	37.7135	33.2728
ENSG00000002919.15	SNX11	protein_coding	1165	584	582	32.9532	9.4752	8.3595
ENSG00000002933.9	TMEM176A	protein_coding	337	151	192	11.3309	3.2580	2.8744
ENSG00000003056.8	M6PR	protein_coding	4811	2932	2694	156.8859	45.1101	39.7985
ENSG00000003096.14	KLHL13	protein_coding	613	313	300	10.2626	2.9508	2.6034
ENSG00000003137.8	CYP26B1	protein_coding	1	0	1	0.0233	0.0067	0.0059
ENSG00000003147.19	ICA1	protein_coding	149	79	83	3.5673	1.0257	0.9049
ENSG00000003249.15	DBNDD1	protein_coding	14	8	7	0.3668	0.1055	0.0931
ENSG00000003393.15	ALS2	protein_coding	2023	1014	1009	22.6577	6.5149	5.7478
ENSG00000003400.15	CASP10	protein_coding	3168	1580	1589	48.8536	14.0471	12.3931
ENSG00000003402.20	CFLAR	protein_coding	8573	5050	4995	44.5855	12.8199	11.3104
ENSG00000003436.16	TFPI	protein_coding	1653	858	874	16.4970	4.7435	4.1849
ENSG00000003509.16	NDUFAF7	protein_coding	616	422	459	19.7245	5.6715	5.0037
ENSG00000003756.17	RBM5	protein_coding	9377	5922	5958	105.8443	30.4339	26.8504
ENSG00000003987.14	MTMR7	protein_coding	186	202	207	3.1386	0.9025	0.7962
ENSG00000003989.18	SLC7A2	protein_coding	24	16	8	0.3549	0.1021	0.0900
ENSG00000004059.11	ARF5	protein_coding	1470	779	801	94.1656	27.0759	23.8877
ENSG00000004139.14	SARM1	protein_coding	128	262	281	1.3475	0.3875	0.3418
ENSG00000004142.12	POLDIP2	protein_coding	1992	1013	1078	87.2199	25.0788	22.1258
ENSG00000004399.13	PLXND1	protein_coding	16990	8299	8694	207.8306	59.7585	52.7220
ENSG00000004455.17	AK2	protein_coding	5035	2527	2532	61.1556	17.5844	15.5138
ENSG00000004468.13	CD38	protein_coding	7347	3650	3697	125.2603	36.0167	31.7758
ENSG00000004478.8	FKBP4	protein_coding	2563	1690	1582	58.0342	16.6869	14.7220
ENSG00000004487.17	KDM1A	protein_coding	3621	1774	1849	77.8157	22.3747	19.7401
ENSG00000004534.15	RBM6	protein_coding	5583	2875	2708	89.4215	25.7118	22.6843
ENSG00000004660.15	CAMKK1	protein_coding	503	276	227	7.9112	2.2747	2.0069
ENSG00000004700.16	RECQL	protein_coding	1264	1002	925	39.1028	11.2434	9.9195
ENSG00000004766.17	VPS50	protein_coding	845	428	417	10.3343	2.9715	2.6216
ENSG00000004776.13	HSPB6	protein_coding	3	2	4	0.2034	0.0585	0.0516
ENSG00000004777.18	ARHGAP33	protein_coding	1612	894	958	35.8275	10.3017	9.0887
ENSG00000004779.10	NDUFAB1	protein_coding	612	309	303	46.2187	13.2895	11.7247
ENSG00000004799.8	PDK4	protein_coding	803	415	388	20.6593	5.9403	5.2408
ENSG00000004809.14	SLC22A16	protein_coding	1065	548	520	31.8672	9.1629	8.0840
ENSG00000004838.14	ZMYND10	protein_coding	104	55	63	4.2085	1.2101	1.0676
ENSG00000004846.16	ABCB5	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004848.8	ARX	protein_coding	1	1	0	0.0375	0.0108	0.0095
ENSG00000004864.14	SLC25A13	protein_coding	813	402	411	25.6185	7.3662	6.4989
ENSG00000004866.22	ST7	protein_coding	404	207	270	7.2372	2.0810	1.8359
ENSG00000004897.12	CDC27	protein_coding	1736	946	967	29.7405	8.5514	7.5445
ENSG00000004939.15	SLC4A1	protein_coding	15	7	8	0.3422	0.0984	0.0868
ENSG00000004948.16	CALCR	protein_coding	1	0	1	0.0277	0.0080	0.0070
ENSG00000004961.15	HCCS	protein_coding	470	231	239	23.4511	6.7430	5.9490
ENSG00000004975.12	DVL2	protein_coding	1362	698	667	29.9241	8.6042	7.5911
ENSG00000005001.10	PRSS22	protein_coding	0	1	0	0.0000	0.0000	0.0000
ENSG00000005007.13	UPF1	protein_coding	3998	2079	1921	54.5190	15.6761	13.8303
ENSG00000005020.13	SKAP2	protein_coding	2673	1380	1293	58.2896	16.7603	14.7868
ENSG00000005022.6	SLC25A5	protein_coding	5560	3380	3164	418.0056	120.1911	106.0388
ENSG00000005059.16	MCUB	protein_coding	846	438	419	27.8207	7.9994	7.0575
ENSG00000005073.6	HOXA11	protein_coding	1	0	1	0.0438	0.0126	0.0111
ENSG00000005075.15	POLR2J	protein_coding	445	229	234	38.3936	11.0395	9.7396
ENSG00000005100.13	DHX33	protein_coding	1785	894	891	36.0473	10.3648	9.1444
ENSG00000005102.14	MEOX1	protein_coding	4	1	3	0.1749	0.0503	0.0444
ENSG00000005108.16	THSD7A	protein_coding	482	263	258	5.1597	1.4836	1.3089
ENSG00000005156.12	LIG3	protein_coding	2473	1714	1767	22.4098	6.4436	5.6849
ENSG00000005175.10	RPAP3	protein_coding	1245	621	624	27.2053	7.8225	6.9014
ENSG00000005187.12	ACSM3	protein_coding	511	353	301	7.9546	2.2872	2.0179
ENSG00000005189.20	REXO5	protein_coding	895	472	492	25.4515	7.3182	6.4565
ENSG00000005194.15	CIAPIN1	protein_coding	1076	531	546	37.1833	10.6915	9.4326
ENSG00000005206.17	SPPL2B	protein_coding	3280	1653	1630	51.6852	14.8613	13.1114
ENSG00000005238.20	FAM214B	protein_coding	1855	915	942	34.0174	9.7812	8.6295
ENSG00000005243.10	COPZ2	protein_coding	21	10	11	1.3157	0.3783	0.3338
ENSG00000005249.13	PRKAR2B	protein_coding	656	351	305	17.9940	5.1739	4.5647
ENSG00000005302.19	MSL3	protein_coding	3280	1652	1628	39.2078	11.2736	9.9462
ENSG00000005339.15	CREBBP	protein_coding	10593	5037	5562	80.0044	23.0040	20.2953
ENSG00000005379.17	TSPOAP1	protein_coding	3231	1636	1687	33.1657	9.5363	8.4134
ENSG00000005381.8	MPO	protein_coding	186960	92681	94333	6196.9924	1781.8505	1572.0399
ENSG00000005421.9	PON1	protein_coding	1	1	0	0.0440	0.0127	0.0112
ENSG00000005436.14	GCFC2	protein_coding	525	351	386	11.2369	3.2310	2.8505
ENSG00000005448.17	WDR54	protein_coding	277	129	151	11.3545	3.2648	2.8804
ENSG00000005469.12	CROT	protein_coding	236	112	124	5.5235	1.5882	1.4012
ENSG00000005471.19	ABCB4	protein_coding	22	11	12	0.3328	0.0957	0.0844
ENSG00000005483.21	KMT2E	protein_coding	6748	3701	3958	79.2927	22.7994	20.1148
ENSG00000005486.17	RHBDD2	protein_coding	1028	529	500	50.2844	14.4585	12.7560
ENSG00000005513.10	SOX8	protein_coding	5	1	5	0.1308	0.0376	0.0332
ENSG00000005700.15	IBTK	protein_coding	2433	1195	1238	32.6222	9.3800	8.2755
ENSG00000005801.18	ZNF195	protein_coding	2164	1061	1103	21.6023	6.2114	5.4800
ENSG00000005810.18	MYCBP2	protein_coding	10218	6635	6777	74.7200	21.4846	18.9548
ENSG00000005812.11	FBXL3	protein_coding	1199	1059	1016	19.8093	5.6959	5.0252
ENSG00000005844.19	ITGAL	protein_coding	14256	8683	9074	168.9594	48.5817	42.8613
ENSG00000005882.12	PDK2	protein_coding	489	385	404	10.4491	3.0045	2.6507
ENSG00000005884.18	ITGA3	protein_coding	54	34	20	0.6440	0.1852	0.1634
ENSG00000005889.16	ZFX	protein_coding	2101	1054	1049	27.1794	7.8150	6.8948
ENSG00000005893.16	LAMP2	protein_coding	6293	3144	3149	78.2317	22.4943	19.8457
ENSG00000005961.19	ITGA2B	protein_coding	1123	534	589	23.0528	6.6285	5.8480
ENSG00000005981.13	ASB4	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006007.12	GDE1	protein_coding	1490	874	883	39.6789	11.4091	10.0657
ENSG00000006015.18	REX1BD	protein_coding	861	420	444	29.8595	8.5856	7.5747
ENSG00000006016.11	CRLF1	protein_coding	20	141	118	0.7880	0.2266	0.1999
ENSG00000006025.12	OSBPL7	protein_coding	1819	902	919	32.3573	9.3039	8.2083
ENSG00000006042.12	TMEM98	protein_coding	61	30	32	1.3748	0.3953	0.3488
ENSG00000006047.13	YBX2	protein_coding	10	5	8	0.2524	0.0726	0.0640
ENSG00000006059.4	KRT33A	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006062.17	MAP3K14	protein_coding	1381	869	881	28.4840	8.1902	7.2258
ENSG00000006071.15	ABCC8	protein_coding	7	5	3	0.0650	0.0187	0.0165
ENSG00000006116.4	CACNG3	protein_coding	1	0	1	0.0610	0.0175	0.0155
ENSG00000006118.15	TMEM132A	protein_coding	35	37	31	0.5625	0.1617	0.1427
ENSG00000006125.18	AP2B1	protein_coding	9921	4905	5025	152.7897	43.9324	38.7594
ENSG00000006128.12	TAC1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006194.10	ZNF263	protein_coding	1087	710	644	19.8465	5.7066	5.0346
ENSG00000006210.7	CX3CL1	protein_coding	1	0	1	0.0196	0.0056	0.0050
ENSG00000006282.21	SPATA20	protein_coding	2338	1179	1159	51.2136	14.7257	12.9917
ENSG00000006283.18	CACNA1G	protein_coding	3	2	3	0.0349	0.0100	0.0088
ENSG00000006327.14	TNFRSF12A	protein_coding	56	27	29	3.6351	1.0452	0.9221
ENSG00000006377.11	DLX6	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006432.15	MAP3K9	protein_coding	64	30	34	0.6041	0.1737	0.1532
ENSG00000006451.8	RALA	protein_coding	1103	540	567	36.0289	10.3596	9.1397
ENSG00000006453.14	BAIAP2L1	protein_coding	112	99	84	2.7159	0.7809	0.6890
ENSG00000006459.11	KDM7A	protein_coding	1914	997	917	23.8599	6.8606	6.0527
ENSG00000006468.14	ETV1	protein_coding	3	1	2	0.0365	0.0105	0.0093
ENSG00000006530.18	AGK	protein_coding	1267	728	744	13.8469	3.9815	3.5127
ENSG00000006534.16	ALDH3B1	protein_coding	4222	2090	2148	74.4911	21.4188	18.8967
ENSG00000006555.11	TTC22	protein_coding	53	27	26	1.0139	0.2915	0.2572
ENSG00000006576.16	PHTF2	protein_coding	1531	779	752	20.7013	5.9523	5.2515
ENSG00000006606.9	CCL26	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006607.14	FARP2	protein_coding	709	364	396	5.7676	1.6584	1.4631
ENSG00000006611.17	USH1C	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006625.18	GGCT	protein_coding	278	136	142	20.3889	5.8625	5.1722
ENSG00000006634.8	DBF4	protein_coding	396	235	206	10.0751	2.8969	2.5558
ENSG00000006638.13	TBXA2R	protein_coding	655	322	335	27.0865	7.7883	6.8713
ENSG00000006652.15	IFRD1	protein_coding	310	159	151	4.5863	1.3187	1.1634
ENSG00000006659.13	LGALS14	protein_coding	1	0	1	0.1293	0.0372	0.0328
ENSG00000006695.12	COX10	protein_coding	801	390	411	13.8606	3.9854	3.5161
ENSG00000006704.11	GTF2IRD1	protein_coding	70	28	42	1.2592	0.3621	0.3194
ENSG00000006712.15	PAF1	protein_coding	1266	607	677	51.9310	14.9320	13.1737
ENSG00000006715.16	VPS41	protein_coding	2540	1279	1261	38.3052	11.0141	9.7172
ENSG00000006740.17	ARHGAP44	protein_coding	29	24	20	0.3637	0.1046	0.0923
ENSG00000006744.19	ELAC2	protein_coding	2892	1447	1455	48.2852	13.8837	12.2489
ENSG00000006747.15	SCIN	protein_coding	4	3	1	0.0402	0.0116	0.0102
ENSG00000006756.16	ARSD	protein_coding	1995	1305	1308	33.1950	9.5447	8.4208
ENSG00000006757.12	PNPLA4	protein_coding	169	91	78	5.7922	1.6655	1.4694
ENSG00000006788.14	MYH13	protein_coding	1	0	1	0.0191	0.0055	0.0048
ENSG00000006831.10	ADIPOR2	protein_coding	2734	1414	1322	54.8142	15.7610	13.9052
ENSG00000006837.12	CDKL3	protein_coding	34	10	24	1.2622	0.3629	0.3202
ENSG00000007001.13	UPP2	protein_coding	26	12	14	1.0279	0.2956	0.2608
ENSG00000007038.11	PRSS21	protein_coding	1305	652	655	77.5611	22.3015	19.6755
ENSG00000007047.15	MARK4	protein_coding	1777	911	866	31.2113	8.9743	7.9176
ENSG00000007062.12	PROM1	protein_coding	4700	2363	2337	73.6837	21.1866	18.6919
ENSG00000007080.11	CCDC124	protein_coding	546	281	266	38.4291	11.0497	9.7486
ENSG00000007129.18	CEACAM21	protein_coding	318	158	160	18.8043	5.4069	4.7702
ENSG00000007168.14	PAFAH1B1	protein_coding	5444	3008	2980	46.2158	13.2886	11.7239
ENSG00000007171.18	NOS2	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000007174.18	DNAH9	protein_coding	7	3	4	0.0483	0.0139	0.0123
ENSG00000007202.15	KIAA0100	protein_coding	12514	9369	9465	158.4667	45.5647	40.1995
ENSG00000007216.15	SLC13A2	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000007237.19	GAS7	protein_coding	6711	3335	3376	77.2355	22.2079	19.5929
ENSG00000007255.10	TRAPPC6A	protein_coding	409	195	216	51.2483	14.7357	13.0006
ENSG00000007264.15	MATK	protein_coding	959	510	449	27.0935	7.7903	6.8730
ENSG00000007306.15	CEACAM7	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000007312.13	CD79B	protein_coding	310	148	162	17.5756	5.0536	4.4585
ENSG00000007314.12	SCN4A	protein_coding	417	210	208	5.9141	1.7005	1.5003
ENSG00000007341.19	ST7L	protein_coding	563	387	396	8.1177	2.3341	2.0593
ENSG00000007350.17	TKTL1	protein_coding	6	2	4	0.1989	0.0572	0.0505
ENSG00000007372.24	PAX6	protein_coding	6	48	31	0.0340	0.0098	0.0086
ENSG00000007376.8	RPUSD1	protein_coding	943	500	485	39.8131	11.4477	10.0997
ENSG00000007384.15	RHBDF1	protein_coding	675	331	346	16.0586	4.6174	4.0737
ENSG00000007392.17	LUC7L	protein_coding	2545	1305	1240	48.1746	13.8519	12.2208
ENSG00000007402.12	CACNA2D2	protein_coding	63	61	37	1.1317	0.3254	0.2871
ENSG00000007516.14	BAIAP3	protein_coding	600	379	350	11.4820	3.3015	2.9127
ENSG00000007520.4	TSR3	protein_coding	447	292	285	43.1877	12.4180	10.9558
ENSG00000007541.17	PIGQ	protein_coding	1048	544	507	15.5954	4.4842	3.9562
ENSG00000007545.16	CRAMP1	protein_coding	1277	725	625	17.3673	4.9937	4.4057
ENSG00000007866.22	TEAD3	protein_coding	11	6	5	0.4218	0.1213	0.1070
ENSG00000007908.16	SELE	protein_coding	3	1	2	0.0765	0.0220	0.0194
ENSG00000007923.16	DNAJC11	protein_coding	1694	1141	1192	38.9611	11.2027	9.8836
ENSG00000007933.13	FMO3	protein_coding	12	6	6	0.4079	0.1173	0.1035
ENSG00000007944.15	MYLIP	protein_coding	2375	1189	1186	90.3816	25.9879	22.9278
ENSG00000007952.18	NOX1	protein_coding	8	7	1	0.3678	0.1057	0.0933
ENSG00000007968.7	E2F2	protein_coding	2045	1029	1016	43.7703	12.5855	11.1036
ENSG00000008018.9	PSMB1	protein_coding	2186	1128	1058	115.1677	33.1147	29.2155
ENSG00000008056.14	SYN1	protein_coding	299	161	154	9.3638	2.6924	2.3754
ENSG00000008083.14	JARID2	protein_coding	4962	2416	2550	92.9034	26.7130	23.5675
ENSG00000008086.13	CDKL5	protein_coding	40	18	22	0.2454	0.0706	0.0623
ENSG00000008118.10	CAMK1G	protein_coding	2	2	0	0.0703	0.0202	0.0178
ENSG00000008128.23	CDK11A	protein_coding	89	39	55	2.0461	0.5883	0.5191
ENSG00000008130.15	NADK	protein_coding	5218	2626	2594	109.5183	31.4903	27.7824
ENSG00000008196.13	TFAP2B	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000008197.5	TFAP2D	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000008226.20	DLEC1	protein_coding	209	362	374	2.9304	0.8426	0.7434
ENSG00000008256.16	CYTH3	protein_coding	753	380	376	15.1568	4.3581	3.8449
ENSG00000008277.14	ADAM22	protein_coding	43	20	23	0.4121	0.1185	0.1045
ENSG00000008282.9	SYPL1	protein_coding	3004	1441	1563	126.1899	36.2840	32.0116
ENSG00000008283.16	CYB561	protein_coding	1333	659	675	29.4252	8.4608	7.4645
ENSG00000008294.21	SPAG9	protein_coding	3147	1653	1495	30.7458	8.8405	7.7995
ENSG00000008300.17	CELSR3	protein_coding	1819	890	930	15.3540	4.4148	3.8950
ENSG00000008311.15	AASS	protein_coding	16	5	11	0.2807	0.0807	0.0712
ENSG00000008323.15	PLEKHG6	protein_coding	170	102	69	4.6653	1.3414	1.1835
ENSG00000008324.12	SS18L2	protein_coding	355	214	177	13.3104	3.8272	3.3765
ENSG00000008382.16	MPND	protein_coding	294	293	285	16.7742	4.8232	4.2553
ENSG00000008394.13	MGST1	protein_coding	2867	1447	1420	45.0437	12.9516	11.4266
ENSG00000008405.12	CRY1	protein_coding	414	221	225	10.1211	2.9102	2.5675
ENSG00000008438.5	PGLYRP1	protein_coding	37	17	21	6.1095	1.7567	1.5498
ENSG00000008441.18	NFIX	protein_coding	1878	928	960	34.1181	9.8101	8.6550
ENSG00000008513.16	ST3GAL1	protein_coding	6315	2989	3326	83.4007	23.9806	21.1569
ENSG00000008516.17	MMP25	protein_coding	726	728	791	19.9892	5.7476	5.0708
ENSG00000008517.18	IL32	protein_coding	213	96	118	7.7597	2.2312	1.9685
ENSG00000008710.20	PKD1	protein_coding	6223	3558	3803	39.2526	11.2865	9.9575
ENSG00000008735.14	MAPK8IP2	protein_coding	8	4	4	0.1614	0.0464	0.0410
ENSG00000008838.20	MED24	protein_coding	3650	1801	1851	61.2910	17.6233	15.5482
ENSG00000008853.17	RHOBTB2	protein_coding	791	863	884	13.9877	4.0220	3.5484
ENSG00000008869.12	HEATR5B	protein_coding	7340	3640	3701	104.1626	29.9504	26.4238
ENSG00000008952.17	SEC62	protein_coding	3367	1720	1653	49.6498	14.2760	12.5950
ENSG00000008988.11	RPS20	protein_coding	11731	5850	5882	202.7239	58.2902	51.4266
ENSG00000009307.16	CSDE1	protein_coding	16341	8288	8054	330.6274	95.0669	83.8729
ENSG00000009335.18	UBE3C	protein_coding	4200	2090	2111	53.2834	15.3208	13.5168
ENSG00000009413.16	REV3L	protein_coding	3475	1941	1942	32.6961	9.4013	8.2943
ENSG00000009694.13	TENM1	protein_coding	116	67	49	1.0516	0.3024	0.2668
ENSG00000009709.12	PAX7	protein_coding	0	0	1	0.0000	0.0000	0.0000
ENSG00000009724.17	MASP2	protein_coding	532	320	301	14.6098	4.2008	3.7062
ENSG00000009765.15	IYD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000009780.16	FAM76A	protein_coding	404	222	182	11.6733	3.3565	2.9613
ENSG00000009790.15	TRAF3IP3	protein_coding	4624	2845	2872	69.7515	20.0560	17.6944
ENSG00000009830.12	POMT2	protein_coding	933	437	496	10.8997	3.1340	2.7650
ENSG00000009844.16	VTA1	protein_coding	1476	720	756	23.7743	6.8359	6.0310
ENSG00000009950.16	MLXIPL	protein_coding	17	6	11	0.4128	0.1187	0.1047
ENSG00000009954.11	BAZ1B	protein_coding	6277	3189	3089	103.9406	29.8865	26.3674
ENSG00000010017.13	RANBP9	protein_coding	2150	1323	1326	69.4717	19.9755	17.6234
ENSG00000010030.14	ETV7	protein_coding	6	4	3	0.2955	0.0850	0.0750
ENSG00000010072.16	SPRTN	protein_coding	376	253	269	7.4427	2.1400	1.8881
ENSG00000010165.20	EEF1AKNMT	protein_coding	1624	872	752	49.5578	14.2496	12.5717
ENSG00000010219.13	DYRK4	protein_coding	426	221	205	7.0601	2.0300	1.7910
ENSG00000010244.19	ZNF207	protein_coding	11271	5538	5733	83.3007	23.9518	21.1315
ENSG00000010256.11	UQCRC1	protein_coding	3347	1720	1627	122.1240	35.1149	30.9802
ENSG00000010270.14	STARD3NL	protein_coding	1235	620	615	33.3902	9.6008	8.4704
ENSG00000010278.15	CD9	protein_coding	2746	1389	1357	55.0737	15.8356	13.9710
ENSG00000010282.15	HHATL	protein_coding	1	1	0	0.0405	0.0116	0.0103
ENSG00000010292.13	NCAPD2	protein_coding	7006	3598	3701	126.5912	36.3994	32.1134
ENSG00000010295.20	IFFO1	protein_coding	2916	1420	1499	68.9380	19.8221	17.4881
ENSG00000010310.9	GIPR	protein_coding	154	80	74	3.5517	1.0212	0.9010
ENSG00000010318.21	PHF7	protein_coding	476	243	233	16.5420	4.7564	4.1963
ENSG00000010319.7	SEMA3G	protein_coding	30	14	16	0.6949	0.1998	0.1763
ENSG00000010322.16	NISCH	protein_coding	4961	2425	2538	64.0004	18.4023	16.2355
ENSG00000010327.10	STAB1	protein_coding	13258	6648	6733	146.3868	42.0913	37.1351
ENSG00000010361.14	FUZ	protein_coding	399	361	348	15.7960	4.5419	4.0071
ENSG00000010379.16	SLC6A13	protein_coding	3	1	2	0.0827	0.0238	0.0210
ENSG00000010404.18	IDS	protein_coding	1089	534	555	13.6982	3.9387	3.4749
ENSG00000010438.17	PRSS3	protein_coding	17	7	12	1.3947	0.4010	0.3538
ENSG00000010539.12	ZNF200	protein_coding	312	170	175	4.8646	1.3987	1.2340
ENSG00000010610.10	CD4	protein_coding	4507	2225	2283	115.6235	33.2458	29.3311
ENSG00000010626.15	LRRC23	protein_coding	295	143	152	11.2999	3.2491	2.8665
ENSG00000010671.16	BTK	protein_coding	5873	2928	2947	150.0744	43.1516	38.0706
ENSG00000010704.18	HFE	protein_coding	146	73	73	3.0076	0.8648	0.7630
ENSG00000010803.16	SCMH1	protein_coding	3822	2069	2070	100.4758	28.8903	25.4885
ENSG00000010810.17	FYN	protein_coding	3226	1564	1663	50.8892	14.6324	12.9095
ENSG00000010818.10	HIVEP2	protein_coding	2573	1339	1367	28.2309	8.1174	7.1615
ENSG00000010932.17	FMO1	protein_coding	1	2	0	0.0325	0.0093	0.0082
ENSG00000011007.12	ELOA	protein_coding	1758	1027	1076	38.1230	10.9617	9.6710
ENSG00000011009.11	LYPLA2	protein_coding	1278	601	678	73.9269	21.2565	18.7536
ENSG00000011021.23	CLCN6	protein_coding	2205	1099	1172	31.5402	9.0689	8.0011
ENSG00000011028.14	MRC2	protein_coding	919	538	563	16.3005	4.6870	4.1351
ENSG00000011052.21	NME1-NME2	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000011083.9	SLC6A7	protein_coding	1	1	2	0.0273	0.0079	0.0069
ENSG00000011105.14	TSPAN9	protein_coding	186	79	107	3.1491	0.9055	0.7989
ENSG00000011114.15	BTBD7	protein_coding	2314	1142	1175	23.8702	6.8635	6.0553
ENSG00000011132.12	APBA3	protein_coding	518	280	306	10.8216	3.1116	2.7452
ENSG00000011143.19	MKS1	protein_coding	687	355	385	7.1169	2.0464	1.8054
ENSG00000011198.10	ABHD5	protein_coding	930	480	454	14.4214	4.1466	3.6584
ENSG00000011201.12	ANOS1	protein_coding	1	0	1	0.0165	0.0047	0.0042
ENSG00000011243.18	AKAP8L	protein_coding	1678	1455	1483	38.6235	11.1056	9.7979
ENSG00000011258.16	MBTD1	protein_coding	2518	1269	1249	40.9758	11.7820	10.3946
ENSG00000011260.14	UTP18	protein_coding	1170	583	587	50.6031	14.5502	12.8369
ENSG00000011275.19	RNF216	protein_coding	3539	1714	1826	54.6108	15.7025	13.8535
ENSG00000011295.16	TTC19	protein_coding	2491	1280	1286	48.1027	13.8312	12.2026
ENSG00000011304.22	PTBP1	protein_coding	12303	6018	6290	191.2375	54.9874	48.5127
ENSG00000011332.19	DPF1	protein_coding	62	31	31	1.5100	0.4342	0.3831
ENSG00000011347.10	SYT7	protein_coding	3	3	1	0.0464	0.0134	0.0118
ENSG00000011376.12	LARS2	protein_coding	1475	765	716	13.8983	3.9963	3.5257
ENSG00000011405.13	PIK3C2A	protein_coding	2266	1159	1107	28.7820	8.2758	7.3014
ENSG00000011422.12	PLAUR	protein_coding	1207	596	611	31.6594	9.1032	8.0313
ENSG00000011426.11	ANLN	protein_coding	1345	718	686	26.2196	7.5390	6.6513
ENSG00000011451.21	WIZ	protein_coding	2652	1290	1365	30.8892	8.8817	7.8359
ENSG00000011454.18	RABGAP1	protein_coding	2076	1039	1040	31.7003	9.1149	8.0417
ENSG00000011465.18	DCN	protein_coding	17	7	10	0.1536	0.0442	0.0390
ENSG00000011478.13	QPCTL	protein_coding	464	233	233	19.2016	5.5211	4.8710
ENSG00000011485.15	PPP5C	protein_coding	2298	1286	1312	37.8968	10.8967	9.6136
ENSG00000011523.14	CEP68	protein_coding	2385	1298	1259	32.3346	9.2973	8.2026
ENSG00000011566.15	MAP4K3	protein_coding	720	354	369	13.8990	3.9965	3.5259
ENSG00000011590.14	ZBTB32	protein_coding	65	33	32	2.7743	0.7977	0.7038
